"Autor","Familia ","Genero","specie "
"Calixto Moraga","Hesperiidae","Ebusus","ebusus"
"Calixto Moraga","Sphingidae","Enyo","lugubris"
"Calixto Moraga","Sphingidae","Aellopos","titan"
"Calixto Moraga","Saturniidae","Automeris","celata"
"Calixto Moraga","Sphingidae","Xylophanes ","crotonis"
"Calixto Moraga","Sphingidae","Pachygonidia","subhamata"
"Calixto Moraga","Sphingidae","Aleuron","iphis"
"Calixto Moraga","Sphingidae","Manduca","dilucida"
"Calixto Moraga","Sphingidae","Adhemarius","gannascus"
"Calixto Moraga","Sphingidae","Aleuron","neglectum"
"Calixto Moraga",,"Amphimoea","walkeri"
"Calixto Moraga","Sphingidae","Cautethia","spuria"
"Freddy Quesada","Erebidae","Helia","argentipes "
"Carolina Cano","Sphingidae","Eumorpha","phorbas"
"Carolina Cano","Erebidae","Viviennea","tegyra"
"Carolina Cano","Hesperiidae","Venada","daneva"
"Carolina Cano","Sphingidae","Manduca","pellenia"
"Carolina Cano","Notodontidae","Nystalea","squamosa"
"Carolina Cano","Saturnidae","Molippa","tusina"
"Carolina Cano","Sphingidae","Nyceryx","tacita"
"Carolina Cano","Saturnidae","Copaxa","escalantei"
"Carolina Cano","Bombicidae","Epia","muscosa"
"Carolina Cano","Hesperiidae","Myscelus","belti"
"Carolina Cano","Hesperiidae","Passova","gellias"
"Carolina Cano","Erebidae","Oraesia","nobilis"
"Carolina Cano","Hesperiidae","Myscelus","perissodora"
"Carolina Cano","Hesperiidae","Polythrix","kanshul"
"Carolina Cano","Lasiocampidae","Euglyphis","larunda"
"Carolina Cano","Papilionidae","Pterourus victorinus"," victorinus"
"Carolina Cano","Papilionidae","Pterourus","laetitia"
"Carolina Cano","Hesperiidae","Phanus","obscurior"
"Carolina Cano","Hesperiidae","Myscelus","amystis"
"Carolina Cano","Notodontidae","Truncaptera","meridionalis ICG02"
"Carolina Cano","Saturnidae","Hyperchiria","nausica"
"Carolina Cano","Notodontidae","Hapigia","nodicornis"
"Carolina Cano","Erebidae","Isanthrene","echemon"
"Carolina Cano","Erebidae","Carales","astur"
"Carolina Cano","Erebidae","Pachydota","drucei"
"Carolina Cano","Notodontidae","Poresta","lanassa "
"Carolina Cano","Sphingidae"," Pachylioides"," resumens"
"Carolina Cano","Noctuidae","Cropia","hadenoides "
"Carolina Cano","Noctuidae","Spodoptera","androgea "
"Carolina Cano","Erebidae","Gonodonta","uxor"
"Carolina Cano","Notodontidae","Heterocampa","andradora"
"Carolina Cano","Notodontidae","Bittacochroma","pylaon"
"Carolina Cano","Noctuidae","Spodoptera","latifascia"
"Carolina Cano","Notodontidae","Phastia","alcimedeICG02"
"Carolina Cano","Riodinidae","Menander","menander "
"Carolina Cano","Noctuidae","Cropia","dedica "
"Cirilo Umaña","Hesperiidae","Achlyodes ","busirus "
"Cirilo Umaña","Saturnidae","Leucanella","hosmera "
"Cirilo Umaña","Sphingidae","Pachylia ","ficus"
"Cirilo Umaña","Riodinidae","Emesis","aurimna"
"Cirilo Umaña","Nymphalidae","Lycoria ","Atergatis"
"Cirilo Umaña","Hesperiidae","Perichares","prestoeaphaga"
"Cirilo Umaña","Hesperiidae","Achlyodes","pallida"
