"Autor","Familia ","Genero","specie "
"Gloria Sihezar","Saturniidae","Automeris  ","banus"
"Gloria Sihezar","Nymphalidae","Archaeoprepona","amphiktion"
"Gloria Sihezar","Saturniidae","Titaea","tamerlan"
"Gloria Sihezar","Saturniidae","Arsenura"," arianae"
"Gloria Sihezar","Apatelolidae","Zanola","verago"
"Gloria Sihezar","Saturniidae","Hylesia","lineata"
"Gloria Sihezar","Hesperiidae","Nascus","solon"
"Gloria SihezarM","Megalopygidae","Megalopyge"," albicollis"
"Gloria Sihezar","Crambidae","Eulepte","concordalis"
"Gloria Sihezar","Crambidae"," Pilocrocis","purpurascens"
"Gloria Sihezar","Nolidae","Elaeognatha"," argyritis"
"Gloria Sihezar","Depressariidae","Chlamydastis","elenaulateae"
"Gloria Sihezar","Hesperiidae"," Zera","hosta"
"Gloria Sihezar","Notodontidae","Malocampa","mephitis"
"Gloria Sihezar","Megalopygidae","Megalopyge","hina"
"Gloria Sihezar","Geometridae","Pseudomennis"," dioptoides"
"Gloria Sihezar","Saturnidae","Schausiella","santarosensis"
"Gloria Sihezar","Notodontidae","Navarcostes"," vernieri"
"Elda Araya","Notodontidae","Hemiceras","rufescens"
"Elda Araya","Notodontidae","Hemiceras","nigricosta"
"Harry Ramirez","Sphingidae","Xylophanes ","germen"
"Harry Ramirez","Saturnidae","Lonomia","electra"
"Harry Ramirez","Sphingidae","Xylophanes ","hannemanni"
"Harry Ramirez","Notodontidae","Cerura","dandon"
"Harry Ramirez","Sphingidae","Erinnyis","ello"
"Harry Ramirez","Nymphalidae","Morpho","justitiae"
"Harry Ramirez","Nymphalidae","Mesotaenia","barnesi"
"Harry Ramirez","Hesperiidae","Urbanus","viterboana"
"Harry Ramirez","Notodontidae","Anurocampa","mingens"
"Harry Ramirez","Hesperiidae","Entheus","Burns01"
"Harry Ramirez","Hesperiidae","Ridens","biolleyi"
"Harry Ramirez","Hesperiidae","Saliana","placens"
"Harry Ramirez","Crambidae","Cliniodes","opalalis"
"Harry Ramirez","Pyralidae","Omphalocera","curiosa"
"Harry Ramirez","Tortricidae","Pseudatteria","volcanica"
"Harry Ramirez","Nymphalidae","Consul","electra"
"Harry Ramirez","Nymphalidae","Greta","championi"
"Harry Ramirez","Noctuidae","Lepidodes","gallopavo"
"Harry Ramirez","Noctuidae","Dyops","cuprescens"
"Harry Ramirez","Notodontidae","Crinodes"," schausi"
"Harry Ramirez","Gelechiidae","Dichomeris","designatella"
"Harry Ramirez","Sphingidae","Xylophanes","juanita"
"Harry Ramirez","Notodontidae","Elasmia"," mandela"
"Harry Ramirez","Geometridae","Pherotesia","minuisca"
"Harry Ramirez","Geometridae","Cyclophora","Hausmann01"
"Harry Ramirez","Sphingidae","Erinnyis","alope"
"Harry Ramirez","Hesperiidae","Calliades","zeutus"
"Harry Ramirez","Sphingidae","Xylophanes","godmani"
"Harry Ramirez","Sphingidae","Xylophanes","rhodina"
"Pablo Umaña","Sphingidae","Xylophanes","porcus"
"Pablo Umaña","Hesperiidae","Cephise","nuspezes"
"Pablo Umaña","Sphingidae","Unzela","Japix"
"Pablo Umaña","Hesperiidae"," Cyclosemia","subcaerulea"
"pablo Umaña","Nymphalidae","Euptychia","westwoodi"
"Pablo Umaña","Papilionidae","Heraclides","autocles"
"Pablo Umaña","Hesperiidae","Pythonides","amaryllis"
"Pablo Umaña","Notodontidae","Sericochroa ","Janzen01"
"Pablo Umaña","noctuidae","Ciri","incurva"
"Pablo Umaña","Limacodidae","Parasa ","sandrae"
"Pablo Umaña","Depressariidae","Antaeotricha","renselariana"
"Pablo Umaña","Erebidae","ochrodota ","marina"
"Pablo Umaña","Riodinidae","Euselasia","chrysippe"
"Pablo Umaña","Megalopygidae","Podalia","orsilocha"
"Pablo Umaña","Erebidae","Agaraea ","minuta"
"Pablo Umaña","Notodontidae","Bardaxima","persesDHJ02"
"Pablo Umaña","Hesperiidae","Bungalotis","astylos"
"Pablo Umaña","Erebidae","Dysschema jansonis","jansonis"
"Pablo Umaña","Nymphalidae","Hamadryas ariensis","ariensis"
"Pablo Umaña","bombycidae","Apatelodes adrastia","adrastia"
"Pablo Umaña","Hesperiidae","Camptopleura auxo"," auxo"
"Pablo Umaña","Erebidae","Anomis"," luridula"
"Pablo Umaña","Hesperiidae","Rhinthon","osca"
"Pablo Umaña","Hesperiidae","Melanopyge","Burns01"
"Pablo Umaña","Hesperiidae","Astraptes","talus"
"Pablo Umaña","Riodinidae","Anteros","renaldus"
"Pablo Umaña","Noctuidae","Lesmone","aemylia"
"Pablo Umaña","Noctuidae","Gonodonta","incurva"
"Pablo Umaña","Noctuidae","Letis","mycerina"
"Pablo Umaña","Riodinidae","Lyropteryx","lyra"
"Pablo Umaña","Notodontidae","Truncaptera","gigantea"
"Pablo Umaña","Limacodidae","Isochaetes","dwagsi "
"Pablo Umaña","Hesperiidae","Phocides","pigmalionDHJ02 "
"Pablo Umaña","Limacodidae","Talima","aurora"
"Pablo Umaña","Riodinidae","Euselasia","rhodogyne"
"Pablo Umaña","Erebidae","Gonodonta","sicheas"
"pablo Umaña","Depressariidae","Ethmia","lichyi"
"Pablo Umaña","Papilionidae","Parides"," zestos"
"Pablo Umaña","Lasiocampidae","Euglyphis","amathuria"
"Pablo Umaña","Geometridae","Tachychlora ","amilletes"
"Petrona Rios",,"Agrias","philatelica"
"Petrona Rios","Hesperiidae","Pyrrhopyge","crida"
"Petrona Rios","Hesperiidae","Autochton","zarex"
"Petrona Rios","Nymphalidae","Zaretis ","itys"
"Petrona Rios","Nymphalidae","Adelpha","celerio"
"Petrona Rios","Nymphalidae","Nica","canthara"
"Petrona Rios","Nymphalidae","Adelpha","leucophtalma"
"Petrona Rios","Notodontidae","Scotura","leucophleps"
"Petrona Rios","Nymphalidae","Adelpha","lacinia"
"Petrona Rios","Saturnidae","Oxytenis","beprea"
"Petrona Rios","Nymphalidae","Adelpha","barnesia leucas"
"Petrona Rios","Nymphalidae","Adelpha","salmonides"
"Petrona Rios","Nymphalidae","Adelpha","erymanthis"
"Petrona Rios","Nymphalidae","Adelpha","basiloides"
"Petrona Rios","Nymphalidae","Adelpha","lorzae"
"Petrona Rios","Nymphalidae","Adelpha","melanthe"
"Petrona Rios","Nymphalidae","Memphis","artacaena"
"Petrona Rios","Nymphalidae","Adelpha","iphiclus"
"Petrona Rios","Nymphalidae","Adelpha","pseudaethalia"
"Petrona Rios","Nymphalidae","Adelpha","adstricta"
"Petrona Rios","Nymphalidae","Adelpha","leuceria"
"Petrona Rios","Nymphalidae","Adelpha","fessonia"
"Petrona Rios","Nymphalidae","Adelpha","tracta"
"Petrona Rios","Nymphalidae","Adelpha","demialba"
"Petrona Rios","Nymphalidae","Adelpha","iphicleola"
"Petrona Rios","Nymphalidae","Adelpha","malea fundania"
"Petrona Rios","Nymphalidae","Adelpha","celerioDHJ02 "
"Petrona Rios","Nymphalidae","Memphis","pithyusa"
"Petrona Rios","Nymphalidae","Memphis","beatrix"
"Petrona Rios","Nymphalidae","Memphis","aulica"
"Petrona Rios","Saturnidae","Oxytenis","vanricana"
"Petrona Rios","Saturnidae","Oxytenis","naemia"
"Calixto Moraga","Saturnidae","Oxytenis","albilunulata"
"Petrona Rios","Geometridae","Psaliodes","Janzen05"
"Petrona Rios","Nymphalidae","Jemadia","suekentonmiller"
"Petrona Rios","Hesperiidae","Telemiades","antiope"
"Petrona Rios","Hesperiidae","Thessia"," jalapus"
"Petrona Rios","Hesperiidae","Phareas","burnsi"
"Petrona Rios","Hesperiidae","Celaenorrhinus","Burns01"
"Petrona Rios","Hesperiidae","Cynea"," anthracinus"
"Petrona Rios","Hesperiidae","Cynea ","megalops"
"Petrona Rios","Hesperiidae","Aguna","coeloides"
"Petrona Rios","Hesperiidae","Perichares"," geonomaphaga"
"Petrona Rios","Hesperiidae","Epargyreus","Burns07"
"Petrona Rios","Hesperiidae","Astraptes","procrastinator"
"Petrona Rios","Hesperiidae","Autochton","Burns01"
"Petrona Rios","Geometridae","Cimicodes","albicosta"
"Petrona Rios","Geometridae","Cyclophora","Janzen14"
"Petrona Rios","Erebidae","Antiblemma","ceras"
"Petrona Rios","Erebidae","Antiblemma"," Poole13"
"Petrona Rios","Erebidae","Antiblemma"," amarga"
"Petrona Rios","Erebidae","Antiblemma","amaltheaamaltheaamaltheaamalthea"
"Petrona Rios","Erebidae","Antiblemma","Poole05"
"Petrona Rios","Erebidae","Antiblemma"," Poole03"
"Petrona Rios","Melastomataceae","Clidemia","octona"
"Petrona Rios","Erebidae","Antiblemma","fuscireticulata"
"Petrona Rios","Erebidae","Antiblemma","Poole29"
"Petrona Rios","Erebidae","Antiblemma","tuva"
"Petrona Rios","Erebidae","Antiblemma","Poole16"
"Petrona Rios","Erebidae","Antiblemma","phoenicopyra"
"Petrona Rios","Eribade","Antiblemma","laranda"
"Petrona Rios","Erebidae","Antiblemma","incarnans"
"Petrona Rios","Erebidae","Antiblemma","Janzen98"
"Petrona Rios","Erebidae","Antiblemma","Poole33"
"Petrona Rios","Erebidae","Antiblemma","herilis"
"Petrona Rios","Erebidae","Antiblemma"," strigatula"
"Petrona Rios","Erebidae","Antiblemma","Janzen34"
"Petrona Rios","Erebidae","Antiblemma","lacteigera"
"Ricardo Calero","Sphingidae","Eumorpha","phorbas"
"Ricardo Calero","Sphingidae","Madoryx ","plutonius"
"Ricardo Calero","Crambidae","Pilocrocis","xanthozonalis"
"Ricardo Calero","Saturnidae","Rhescyntis","hippodamia"
"Ricardo Calero","Noctuidae","Bastilla","purpurata"
"Ricardo Calero","Nolidae","Iscadia","furciferaDHJ02"
"Ricardo Calero","Saturnidae","Hylesia ","continua"
"Ricardo Calero","Erebidae","Hypena ","Poole36"
"Ricardo Calero","Erebidae","plusiodonta","nitissima"
"Ricardo Calero","Sphingidae","Cocytius"," antaeus"
"Ricardo Calero","Riodinidae","Anteros ","formosus"
"Ricardo Calero","Notodontidae","Bardaxima","marcida"
"Ricardo Calero","Sphingidae","Erinnyis","obscura"
"Ricardo Calero","Nymphalidae","Doxocopa","laure"
"Ricardo Calero","Papilionidae","Heraclides","idaeus"
"Ricardo Calero","Hesperiidae","Astraptes","inflatio"
"Ricardo Calero","Riodinidae","Euselasia","cheles"
"Ricardo Calero","Saturniidae","Copaxa","curvilinea"
"Ricardo Calero","Hesperiidae","Nicephellus"," nicephorus"
"Ricardo Calero","Nymphalidae","Eryphanis","lycomedon"
"Ricardo Calero","Hesperiidae","Narcosius","nazaraeus"
"Ricardo Calero","Saturniidae","Hylesia","dalinaDHJ01"
"Ricardo Calero","Hesperiidae","Cobalus","fidicula"
"Ricardo Calero","Hesperiidae","Mictris","crispus caerula"
"Ricardo Calero","Hesperiidae","Zenis","janka"
"Ricardo Calero","Hesperiidae","Noctuana ","stator"
"Ricardo Calero","Sphingidae","Eumorpha","labruscae"
"Ricardo Calero","Sphingidae","Aleuron","carinata"
"Ricardo Calero","Erebidae","Thagona","errans"
"Ricardo Calero","Erebidae","Parathyri","cedonulli"
"Ricardo Calero","Erebidae","Glaucostola","romula"
"Ricardo Calero","Hesperiidae","Chiomara","mithrax"
"Ricardo Calero","Crambidae","Pilocrosis","xanthozonalis"
"Ricardo Calero","Crambidae","Parathyris ","cedonulli "
"Ricardo Calero","Noctuidae","Aprica","patula"
"Ricardo Calero","Erebidae","Napata","flaviceps"
"Ricardo Calero","Riodinidae","Hyphilaria","thasus"
"Ricardo Calero","Sphingidae","Erinnyisus","oenotrus"
"Ricardo Calero","Notodontidae","Deltochlora","splendens"
"Roster Moraga","Hesperiidae","Udranomia ","kikawai"
"Roster Moraga","Saturnidae","Arsenura","batesii"
"Roster Moraga","Lycaenidae","Evenus","regalis"
"Roster Moraga","Riodinidae","Juditha","caucana"
"Roster Moraga","Noctuidae","Pseudbarydia ","crespula "
"Roster Moraga","Sphingidae","Manduca","ochus"
"Roster Moraga","Riodinidae","Pachythone","gigas"
"Roster Moraga","Nymphalidae","Smyrna ","blomfildia "
"Roster Moraga","Saturnidae","Pseudodirphia","menander"
"Roster Moraga","Saturnidae","Automeris ","phrynon "
"Roster Moraga","Nymphalidae","Callicore","peralta"
"Roster Moraga","Nymphalidae","Catonephele","esite"
"Roster Moraga","Geometridae","Smicropus"," laeta"
"ROster Moraga","Notodontidae","Erbessa"," stroudi "
"Roster Moraga","Notodontidae","Didugua","leona"
"Roster Moraga","Erebidae","Chetone ","angulosa "
"Roster Moraga","Erebidae","Hypocrita","drucei"
"Roster Moraga","Erebidae","Hypocrita","arcaei"
"Roster Moraga","Eurypygidae","Eurypyga","helias"
"Roster Moraga","Erebidae","Pseudophaloe","troetschi"
"Roster Moraga","Erebidae","Belemnia","trotschi"
"Roster Moraga","Erebidae","Aethria","Espinoza01"
"Roster Moraga","Erebidae","Metastatia","pyrrhorhoea"
"ROster Moraga","Riodinidae","Symmachia","rubina"
"Roster Moraga","Notodontidae","Chadisrochroa ","zabena"
"Roster Moraga","Erebidae","Amaxia","apyga"
"Roster Moraga","Sphingidae","Xylophanes","tyndarus"
"Jose Cortes","Papilionidae","Mimoides","branchus"
"José Cortes","Crambidae","Dichogama"," colotha"
"Roster Moraga","Erebidae","Coreura","phoenicides "
"Jose Cortes","Riodinidae","Caledonia","sturnula"
"Jose Cortes","Nymphalidae","Manataria","maculata"
"Jose Cortes","Notodontidae","Nystalea","idone"
"jose Cortes","Hesperiidae","Celaenorrhinus","fritzgaertneri"
"Jose Cortes","Hesperiidae","Porphyrogenes","sula"
"Jose Cortes","Erebidae","Isogona","capitalis"
"Jose Cortes","Notodontidae","Nystalea","porganaDHJ02"
"José Cortes","Crambidae","Rhectocraspeda","periusalis"
"Jose Cortes","Noctuidae","Diastema","tigris"
"Jose Cortes","Erebidae","Coenipeta","phasis"
"Jose Perez","Hesperiidae","Chrysoplectrum","Burns01"
"José Pérez","Erebidae","Ipanephis","esperanzalis"
"Jose Perez","Sphingidae","Pachygonidia","drucei "
"Jose Perez","Pieridae","Eurema","boiduvaliana"
"Jose Perez","Papilionidae","Heraclides","pallas"
"Jose Perez","Nymphalidae","Taygetomorpha","salvini"
"José Perez","Megalopygidae","Mesoscia","dumilla"
"José Perez","Nymphalidae","Junonia","genoveva"
"José Perez","Erebidae","Duspumera","fannia"
"José Perez","Erebidae","Smyra","stiparura"
"Jose Cortes","Nymphalidae","Marpesia","petreus"
"Jose Cortes","Hesperiidae","Paches ","loxus"
"Jose Cortes","Pieridae","Melete","isandra"
"Jose Cortes","Hesperiidae","Saliana","antoninus"
"Jose Cortes","Erebidae","Eucereon","xanthura "
"Jose Cortes","Erebidae","Radosa","ordinata"
"Jose Perez","Nymphalidae","Taygetis","kerea"
"Jose Cortes","Hesperiidae","Salina"," longirostris"
"Jose Cortes","Hesperiidae","Epargyreus","Buns03"
"Jose Cortes","Noctuidae","Condica","satorDHJ02"
"Jose Cortes","Nymphalidae","Chlosyne","melanarge "
"jose Cortes","Nymphalidae"," Melinaea","lilis"
"jose Cortes","Hesperiidae","Vettius","conka"
"Jose Cortes","Noctuidae","Heterochroma","sarepta"
"Jose Cortes","Hesperiidae","Gindanes","brontinus"
"Jose Cortes","Notodontidae","Disphragisella","baracoanaDHJ02 "
"Jose Cortes","Notodontidae","Elymiotis","longara"
"Jose Cortes","Crambidae","Omiodes","indicata"
"Jose Cortes","Crambidae","Phaedropsis","Solis348"
"Jose Perez","Hesperiidae","Milanion","marciana"
"Jose Perez","Lycaenidae","Cyanophrys","fusius"
"Jose Perez","Noctuidae","Heterochroma","luma"
"Jose Perez","sphingidae","Neococytius","cluentius"
"Jose Perez","Riodinidae","Symmachia","tricolor"
"Jose Perez","Hesperiidae","Astraptes","brevicauda"
"Jose Perez","Nymphalidae","Callicore","bugaba"
"Jose Perez","Hesperiidae","Bungalotis","diophorus"
"Jose Perez","Nymphalidae","Memphis ","proserpina "
"Jose Perez","Hesperiidae","Eracon","lachesis"
"Jose Perez","Limacodidae","Parasa","macrodonta"
"Jose Perez","Hesperiidae","Porphyrogenes ","peterwegei "
"Jose Perez","Hesperiidae","Cyclosemia ","Burns01"
"Jose Perez","Nymphalidae","Caligo","sulanus"
"Jose Perez","Hesperiidae","Tosta","platypterus"
"Jose Perez","Hesperiidae","Dyscophellus","Burns02"
"Jose Perez","Hesperiidae","Pterourus","bryki"
"Jose Perez","Limacodidae","Acharia"," sarans"
"Jose Perez","Hesperiidae","Jemadia","pseudognetus"
"Jose Perez","Nymphalidae","Nessaea","aglaura"
"Jose Perez","Nymphalidae","Pierella","pallida"
"Jose Perez","Mimalionidae","Trogoptera","salvita"
"Jose Perez","Hesperiidae","Aguna","Burns02"
"Jose Perez","Hesperiidae","Antigonus","nearchus"
"Jose Perez","Saturnidae","Automeris","zozimanaguana"
"Jose Perez","Riodinidae","Necyria","beltiana"
"Jose Perez","Hesperiidae","Porphyrogenes","sula"
"Jose Perez","Dalceridae","Acraga","melinda"
"José Perez","Depressariidae","Stenoma","Janzen98"
"Keiner Aragon","Hesperiidae","Carystina","aurifer"
"Keiner Aragon","Sphingidae","Hemeroplanes","triptolemus "
"keiner Aragon","Riodinidae","Synargis","mycone"
"Keiner Aragon","Saturnidae","Automeris ","dagmarae "
"Keiner Aragon","Nymphalidae","Anaea","aidea"
"keiner Aragon","Hesperiidae","Astraptes","fruticibus"
"Keiner Aragon","Saturnidae","Copaxa","moinieri"
"keiner Aragon","Saturnidae","Rothschildia","erycina"
"Keiner Aragon","Saturniidae","Rothschildia","lebeau"
"keiner Aragon","Hesperiidae","Astraptes","synecdoche"
"keiner Aragon","riodinidae","Mesosemia","grandis"
"Keiner Aragon","Hesperiidae","Calpodes","Ethlius"
"Keiner Aragon","Hesperiidae","Atarnes","sallei"
"Keiner Aragon","Hesperiidae","Polyctor","Cleta"
"Keiner Aragon","Sphingidae","Aellopos","fadus"
"keiner Aragon","Sphingidae","Xylophanes","Turbata"
"Keiner Aragon","Notodontidae","Hemiceras","vecina"
"Keiner Aragon","Uraniidae","Erosia","veninotata"
"Keiner Aragon","Notodontidae","Hemiceras","clarki"
"Keiner Aragon","Hesperiidae","Eburuncus","unifasciata"
"Keiner Aragon","Sphingidae","Manduca","muscosa"
"Keiner Aragon","Eribade","Scopifera","antelia"
"Keiner Aragon","Riodinidae","Rhetus","castigatus"
"Keiner Aragon","Limacodidae","Euclea","mesoamericana"
"Keiner Aragon","Noctuidae","Concana","hoshea"
"Keiner Aragon","Riodinidae","Emesis","mandana"
"Keiner Aragon","Notodontidae","Hemiceras ","conspirata"
"Keiner Aragon","Erebidae","Gonodonta","fulvangula"
"Lucia Rios","Nymphalidae","Caligo","telamonius"
"Lucia Rios","Nymphalidae","Danaus","plexippus"
"Lucia Rios","Sphingidae","Pseudosphinx ","tetrio"
"Lucia Rios","Nymphalidae"," Callicore","piteas"
"Lucia Rios","Nymphalidae","Callicore ","lyca"
"Lucia Rios","Nymphalidae","Callicore","texa"
"Lucia Rios","Nymphalidae","Pierella","incanescens"
"Lucia Rios","Sphingidae","Erinnyis","lassauxii"
"Lucia Rios","Sphingidae","Adhemarius","fulvescens"
"Lucia Rios","Saturnidae","Gamelia","musta"
"Lucia Rios","Nymphalidae","Catoblepia","orgetorix"
"ROster Moraga","Nymphalidae","Heliconius"," petiverana"
"lucia Rios","Nymphalidae","Morpho","Heleonor"
"Lucia Rios","Nymphalidae","Diaethria","marchalii"
"Lucia Rios","Nymphalidae","Nessaea","aglaura"
"Lucia Rios","Nymphalidae","Agraulis"," vanillae"
"Lucia Rios","Nymphalidae","Memphis","indigotica"
"Lucia Rios","Nymphalidae","Historis","odius"
"Lucia Rios","Nymphalidae","Historis","acheronta"
"Lucia Rios","Nymphalidae","L","chiron"
"Lucia Rios","Nymphalidae","Doxocopa","clothilda"
"Lucia Rios","Nymphalidae","Dryas","iulia"
"Lucia Rios","Nymphalidae","Temenis","hondurensis"
"Lucía Ríos","Nymphalidae","Chlosyne","gaudialis"
"Lucía Ríos","Nymphalidae","Eunica","malvina"
"Lucía Ríos","Saturniidae","Dirphia","horcana"
"Lucía Ríos","Nymphalidae","Heliconius","doris"
"Lucía Ríos","Dalceridae","Acraga","coa"
"Lucía Ríos","Dalceridae","Acraga","philetera"
"Lucía Ríos","Megalopygidae","Trosia","nigropunctigera"
"Lucía Ríos","Saturnidae","Syssphinx","jennyphillipsae"
"Lucía Ríos","Pieridae","Dismorphia","praxinae"
"Lucía Ríos","Saturnidae","Syssphinx","colla"
"Lucía Ríos","Saturnidae","Adeloneivaia","isara"
"Lucía Ríos","Papilionidae","Parides ","lycimenes"
"Lucía Ríos","Limacodidae","Natada","michorta"
"Lucía Ríos","Erebidae","Hypercompe","albescens"
"Lucía Ríos","Notodontidae","Truncaptera","fascis"
"Manuel Pereira","Saturnidae","Rothschildia","triloba"
"Manuel Pereira","Sphingidae","Adhemarius","ypsilon"
"Manuel Pereira","Nymphalidae","Heliconius","galanthus"
"Manuel Pereira","Saturnidae"," Automeris","ioDHJ01"
"Manuel Pereira","Hesperiidae","Phocides","Warren01"
"Manuel Pereira","Geometridae","Herbita","aglausaria"
"Manuel Pereira","Hesperiidae","Astraptes ","obstupefactus"
"Manuel Pereira","Hesperiidae","Quasimellana","antipazina"
"Manuel Pereira","Hesperiidae","Chioides","zilpa"
"Manuel Pereira","Hesperiidae","Celaenorrhinus","approximatus"
"Manuel Pereira","Papilionidae","Papilio ","polyxenes "
"Manuel Pereira","Geometridae","Sabulodes"," arge"
"Manuel Pereira","Crambidae","Trichaea","pilicornis"
"Manuel Pereira","Nymphalidae","Vanessa ","virginiensis"
"Manuel Pereira","Hesperiidae","Ocyba","calathana"
"Manuel Pereira","Crambidae","Omiodes"," humeralis"
"Manuel Pereira","Hesperiidae","Epargyreus","Burns02 "
"Manuel Pereira","Hesperiidae","Polythrix","octomaculata"
"Manuel Pereira","Notodontidae","Truncaptera","inopinata"
"Manuel Pereira","Nymphalidae","Hypanartia","arcaei"
"Manuel Pereira","Nymphalidae","Hypanartia","godmanii"
"Manuel Pereira","Noctuidae","Cropia","connecta"
"Manuel Pereira","Hesperiidae","Carystoides","Janzen03"
"Manuel Pereira","Lycaenidae","Ocaria"," ocrisiaDHJ02"
"Mariano Pereira","Saturniidae","Dysdaemonia","boreas"
"Manuel Pereira","Limacodidae","Parasa","viridogrisea"
"Manuel Pereira","Limacodidae","Euclea","gajentaani"
"Manuel Rios","Lasiocampidae","prorifrons","tremula"
"Manuel Rios","Riodinidae","Lasaia","agesilas"
"Manuel Rios","Papilionidae","Heraclides ","tolmides "
"Manuel Rios","Lycaenidae","Eumaeus","godartii"
"Manuel Rios","Lasiocampidae","Euglyphis","asapha"
"Manuel Rios","Notodontidae","Nystalea","montanaICG02"
"Manuel Rios","Hesperiidae","Grais","stigmaticus"
"Manuel Rios","Saturnidae","Hylesia","rubrifrons"
"Manuel Rios","Notodontidae","Rhuda","difficilis"
"Manuel Rios","Notodontidae","Meragisa","marcata"
"Manuel Rios","Papilionidae","Protographium","thyastes panamensis"
"Manuel Rios","Hesperiidae","Urbanus"," esta"
"Manuel Rios","Hesperiidae","Urbanus","simplicius"
"Manuel Rios","Hesperiidae","Carystoides","orbius"
"Manuel Rios","Nymphalidae","Dulcedo","polita"
"Manuel Rios","Hesperiidae","Hyalothyrus neleus ","neleus "
"Manuel Rios","Nymphalidae","Pteronymia","picta"
"Manuel Rios","Nymphalidae","Hypoleria","rhene"
"Manuel Rios","Hesperiidae","Damas","immacula"
"Manuel Rios","Hesperiidae","Carystoides","escalantei"
"Manuel Rios","Notodontidae","Disphragisella","deliraICG02"
"Manuel Rios","Pieridae","Glutophrissa","tenuis"
"Manuel Rios","Hesperiidae","Damas","clavus"
"Manuel Rios","Erebidae","Hemeroblemma","schausiana"
"Manuel Rios","Nymphalidae","Prepona","dexamenus"
"Manuel Rios","Noctuidae","Perigea","illicita"
"Manuel Rios","Notodontidae","Nystalea","superciliosa"
"Manuel Rios","Hesperiidae","Cymaenes"," odilia trebius"
"Manuel Rios","Erebidae","Tautobriga","glaucopis"
"Manuel Rios","Hesperiidae","Entheus","Burns02"
"Manuel Rios","Erebidae","Gorgone","fellearis"
"Manuel Rios","Hesperiidae","Perichares","deceptus"
"Manuel Rios","Erebidae","Anticarsia","gemmatalis"
"Mariano Pereira","Nymphalidae","Morpho","catalina"
"Mariano Pereira","Nymphalidae","Opsiphanes","tamarindi"
"Mariano Pereira","Sphingidae","Protambulyx","strigilis"
"Mariano Pereira","Hesperiidae","Drephalys","Kidonoi"
"Minor Carmona","Saturnidae","Periphoba ","arcaei"
"Minor Carmona","Hesperiidae","Phocides","lilea"
"Minor Carmona","Notodontidae","Naprepa","flexifera"
"Minor Carmona","Sphingidae","Aleuron","chloroptera"
"Minor Carmona","Limacodidae","Natada","lalogamezi"
"Minor Carmona","Noctuidae","Xanthopastis","timais"
"Minor Carmona","Hesperiidae","Rhinthon","molion"
"Minor Carmona","Hesperiidae","Nisoniades ","godma "
"Minor Carmona","Notodontidae","Drugera","morona"
"Minor Carmona","Hesperiidae","Morvina","fissimacula pelarge"
"Minor Carmona","Pyralidae","Chloropaschia ","mennusali,"
"Minor Carmona","Hesperiidae","Telemiades","fides"
"Minor Carmona","Hesperiidae","Astraptes","augeas"
"Minor Carmona","Hesperiidae","Nisoniades","castolus"
"Minor Carmona","Hesperiidae","Tosta","niger"
"Minor Carmona","Notodontidae","Malocampa","matralis"
"Minor Carmona","Limacodidae","Natada ","fusca "
"Minor Carmona","Hesperiidae","Quadrus","francesius"
"Minor Carmona","Erebidae","Dysschema","viuda"
"Minor Carmona","Hesperiidae","Pythonides","proxenus"
"Minor Carmona","Erebidae","Cosmosoma","hercyna"
"Minor Carmona","Hesperiidae","Eutychide ","ochus"
"Minor Carmona","Tortricidae","Anacrusis","nephrodes"
"Minor Carmona","Depressariidae","Ethmia","scythropa"
"Minor Carmona","Hesperiidae","Telemiades","avitus"
"Minor Carmona","Depressariidae","Stenoma","fenestra"
"Minor Carmona","Erebidae","Hemeroblemma","ochrolinea"
"Minor Carmona","Erebidae","Halysidota","orientalis"
"Minor Carmona","Choreutidae","Tortyra"," cuprinella"
"Minor Carmona","Hesperiidae","Xeniades"," chalestra"
"Osvaldo Espinoza","Hesperiidae","Parelbella","macleannani"
"Osvaldo Espinoza","Sphingidae","Oryba","kadeni"
"Osvaldo Espinoza","Nymphalidae","Antirrhea","lindigii"
"Osvaldo Espinoza","Hesperiidae","Bungalotis","quadratumDHJ01"
"Osvaldo Espinoza","Limacodidae","Talima","beckeri"
"Osvaldo Espinoza","Limacodidae","Acharia ","horridaDHJ02 "
"Osvaldo Espinoza","Limacodidae","Acharia","hyperoche"
"Osvaldo Espinoza","Hesperiidae","Decinea ","decinea derisor"
"Osvaldo Espinoza","Hesperiidae","Nascus","broteas"
"Osvaldo Espinoza","Hesperiidae","Dyscophellus ramon","ramon"
"Osvaldo Espinoza","Nymphalidae","  Doxocopa","pavon"
"Osvaldo Espinoza","Depressariidae","Stenoma","byssina"
"Osvaldo Espinoza","Hesperiidae","Polyctor","polyctor"
"Osvaldo Espinoza","Hesperiidae","Cobalopsis","nero"
"Osvaldo Espinoza","Depressariidae","Lethata","trochalosticta "
"Osvaldo Espinoza","Geometridae","Opisthoxia","molpadia"
"Osvaldo Espinoza","Limacodidae","Euclea"," bidiscalis"
"Osvaldo Espinoza","Riodinidae","Ancyluris","jurgensenii"
"Osvaldo Espinoza","Riodinidae","Epimecis","matronaria"
"Osvaldo Espinoza","Crambidae","Anarmodia","nebulosalis"
"Osvaldo Espinoza","Thyrididae","Zeuzerodes","caenosa"
"Osvaldo Espinoza","Thyrididae","Microsca","paullula"
"Osvaldo Espinoza","Megalopygidae"," Macara","argentea"
"Osvaldo Espinoza","Pyralidae","Chloropaschia","pegalis"
